iter	Passed	Remaining
278	729	1885
279	731	1879
280	732	1874
281	734	1869
282	735	1864
283	737	1859
284	739	1855
285	741	1850
286	743	1845
287	744	1840
288	746	1835
289	747	1830
290	749	1825
291	750	1820
292	752	1815
293	755	1813
294	757	1809
295	758	1804
296	760	1799
297	761	1794
298	763	1789
299	764	1784
300	766	1779
301	767	1774
302	769	1770
303	771	1766
304	773	1761
305	774	1757
306	776	1752
307	777	1747
308	779	1742
309	780	1738
310	782	1733
311	783	1727
312	785	1723
313	786	1718
314	788	1713
315	789	1709
316	790	1703
317	792	1699
318	794	1695
319	795	1689
320	796	1685
321	798	1681
322	800	1677
323	801	1673
324	803	1668
325	805	1664
326	807	1660
327	808	1657
328	810	1654
329	812	1650
330	815	1647
331	817	1645
332	819	1641
333	822	1639
334	824	1637
335	827	1634
336	829	1631
337	832	1629
338	834	1626
339	837	1625
340	840	1624
341	842	1621
342	845	1618
343	848	1617
344	851	1616
345	854	1614
346	857	1612
347	860	1611
348	863	1610
349	866	1608
350	869	1607
351	872	1606
352	875	1604
353	879	1604
354	882	1603
355	886	1603
356	888	1601
357	892	1599
358	895	1599
359	899	1598
360	902	1596
361	905	1595
362	908	1593
363	911	1593
364	914	1590
365	917	1589
366	920	1587
367	922	1584
368	926	1583
369	929	1583
370	932	1580
371	934	1578
372	937	1575
373	941	1575
374	943	1572
375	947	1572
376	950	1571
377	953	1569
378	957	1568
379	960	1567
380	964	1566
381	967	1565
382	970	1564
383	973	1561
384	976	1560
385	979	1557
386	981	1554
387	983	1551
388	986	1549
389	989	1547
390	992	1545
391	995	1543
392	998	1541
393	1001	1540
394	1005	1539
395	1008	1538
396	1012	1537
397	1015	1536
398	1019	1535
399	1023	1534
400	1026	1533
401	1030	1532
402	1034	1532
403	1036	1528
404	1039	1527
405	1043	1526
406	1047	1526
407	1050	1524
408	1053	1522
409	1057	1522
410	1061	1521
411	1065	1520
412	1068	1518
413	1072	1517
414	1075	1515
415	1077	1512
416	1079	1509
417	1083	1508
418	1086	1506
419	1089	1504
420	1092	1502
421	1095	1500
422	1098	1497
423	1101	1496
424	1104	1494
425	1108	1493
426	1111	1491
427	1115	1490
428	1118	1488
429	1122	1487
430	1125	1485
431	1129	1484
432	1132	1483
433	1135	1480
434	1138	1479
435	1142	1477
436	1145	1476
437	1149	1474
438	1152	1472
439	1155	1470
440	1158	1468
441	1160	1465
442	1164	1464
443	1168	1462
444	1171	1461
445	1175	1459
446	1178	1458
447	1182	1456
448	1185	1454
449	1188	1452
450	1192	1451
451	1195	1449
452	1198	1447
453	1202	1446
454	1206	1444
455	1209	1443
456	1213	1441
457	1216	1440
458	1220	1438
459	1224	1436
460	1227	1435
461	1230	1433
462	1234	1432
463	1237	1429
464	1241	1428
465	1244	1426
466	1247	1424
467	1251	1422
468	1255	1421
469	1258	1418
470	1261	1416
471	1265	1415
472	1268	1413
473	1272	1411
474	1274	1408
475	1277	1406
476	1281	1404
477	1284	1403
478	1287	1400
479	1289	1397
480	1292	1394
481	1295	1392
482	1297	1389
483	1300	1386
484	1302	1383
485	1305	1380
486	1308	1378
487	1310	1375
488	1313	1372
489	1315	1369
490	1318	1366
491	1321	1364
492	1324	1362
493	1328	1360
494	1331	1358
495	1334	1355
496	1337	1353
497	1341	1352
498	1344	1349
499	1347	1347
500	1351	1345
501	1354	1343
502	1358	1341
503	1361	1339
504	1364	1337
505	1368	1335
506	1371	1333
507	1375	1332
508	1378	1330
509	1381	1327
510	1385	1325
511	1388	1323
512	1392	1322
513	1396	1320
514	1400	1318
515	1403	1316
516	1406	1313
517	1410	1312
518	1413	1310
519	1417	1308
520	1420	1306
521	1424	1304
522	1427	1302
523	1431	1300
524	1434	1297
525	1437	1295
526	1440	1292
527	1443	1290
528	1447	1288
529	1450	1286
530	1454	1284
531	1456	1280
532	1458	1277
533	1461	1275
534	1465	1273
535	1468	1271
536	1471	1268
537	1475	1266
538	1478	1264
539	1482	1262
540	1485	1260
541	1488	1258
542	1492	1256
543	1496	1254
544	1499	1252
545	1503	1249
546	1506	1247
547	1510	1245
548	1513	1243
549	1516	1240
550	1519	1238
551	1523	1236
552	1526	1234
553	1530	1231
554	1533	1229
555	1536	1227
556	1539	1224
557	1542	1222
558	1545	1219
559	1548	1216
560	1552	1214
561	1555	1212
562	1558	1209
563	1560	1206
564	1562	1203
565	1563	1199
566	1565	1195
567	1567	1191
568	1568	1188
569	1570	1185
570	1573	1181
571	1574	1178
572	1576	1174
573	1578	1171
574	1580	1168
575	1582	1165
576	1584	1161
577	1586	1158
578	1588	1154
579	1590	1151
580	1592	1148
581	1594	1145
582	1596	1142
583	1598	1138
584	1600	1135
585	1602	1132
586	1604	1128
587	1606	1125
588	1608	1122
589	1609	1118
590	1611	1115
591	1613	1112
592	1615	1108
593	1617	1105
594	1619	1102
595	1620	1098
596	1622	1095
597	1623	1091
598	1625	1088
599	1627	1084
600	1628	1081
601	1630	1078
602	1632	1074
603	1633	1071
604	1635	1067
605	1637	1064
606	1639	1061
607	1642	1058
608	1644	1055
609	1646	1052
610	1648	1049
611	1651	1046
612	1652	1043
613	1653	1039
614	1655	1036
615	1657	1033
616	1660	1030
617	1662	1027
618	1664	1024
619	1665	1021
620	1667	1017
621	1669	1014
622	1671	1011
623	1672	1007
624	1674	1004
625	1675	1001
626	1677	997
627	1678	994
628	1680	991
629	1682	987
630	1683	984
631	1684	981
632	1686	978
633	1688	974
634	1690	971
635	1691	968
636	1693	964
637	1694	961
638	1696	958
639	1697	954
640	1699	951
641	1700	948
642	1702	945
643	1703	941
644	1705	938
645	1706	935
646	1708	932
647	1709	928
648	1710	925
649	1712	922
650	1713	918
651	1715	915
652	1716	912
653	1718	909
654	1720	906
655	1721	902
656	1723	899
657	1725	896
658	1726	893
659	1728	890
660	1729	887
661	1731	883
662	1732	880
663	1734	877
664	1735	874
665	1737	871
666	1738	868
667	1740	864
668	1741	861
669	1743	858
670	1744	855
671	1745	852
672	1747	848
673	1748	845
674	1750	842
675	1751	839
676	1753	836
677	1755	833
678	1756	830
679	1757	827
680	1759	824
681	1760	821
682	1762	818
683	1764	815
684	1765	811
685	1766	808
686	1768	805
687	1770	802
688	1771	799
689	1773	796
690	1774	793
691	1776	790
692	1777	787
693	1779	784
694	1781	781
695	1782	778
696	1783	775
697	1785	772
698	1787	769
699	1788	766
700	1789	763
701	1790	760
702	1792	757
703	1794	754
704	1795	751
705	1797	748
706	1798	745
707	1800	742
708	1802	739
709	1803	736
710	1805	733
711	1806	730
712	1808	727
713	1809	724
714	1811	722
715	1812	719
716	1814	716
717	1816	713
718	1818	710
719	1819	707
720	1820	704
721	1822	701
722	1824	698
723	1825	695
724	1826	692
725	1828	689
726	1829	687
727	1831	684
728	1832	681
729	1833	678
730	1835	675
731	1836	672
732	1838	669
733	1839	666
734	1841	663
735	1843	661
736	1844	658
737	1846	655
738	1848	652
739	1849	649
740	1850	646
741	1852	644
742	1853	641
743	1855	638
744	1857	635
745	1858	632
746	1860	629
747	1861	627
748	1863	624
749	1864	621
750	1866	618
751	1867	615
752	1869	613
753	1870	610
754	1871	607
755	1873	604
756	1875	601
757	1876	599
758	1878	596
759	1879	593
760	1881	590
761	1882	587
762	1883	585
763	1885	582
764	1886	579
765	1888	576
766	1890	574
767	1891	571
768	1893	568
769	1894	565
770	1896	563
771	1897	560
772	1899	557
773	1900	555
774	1902	552
775	1904	549
776	1905	546
777	1907	544
778	1909	541
779	1910	538
780	1911	536
781	1913	533
782	1914	530
783	1916	528
784	1918	525
785	1919	522
786	1921	519
787	1922	517
788	1923	514
789	1925	511
790	1926	509
791	1928	506
792	1929	503
793	1931	501
794	1933	498
795	1934	495
796	1936	493
797	1937	490
798	1939	487
799	1940	485
800	1942	482
801	1943	479
802	1945	477
803	1947	474
804	1948	472
805	1950	469
806	1951	466
807	1953	464
808	1955	461
809	1956	458
810	1958	456
811	1959	453
812	1961	451
813	1962	448
814	1964	445
815	1966	443
816	1967	440
817	1969	438
818	1970	435
819	1972	432
820	1974	430
821	1975	427
822	1977	425
823	1979	422
824	1980	420
825	1982	417
826	1983	414
827	1984	412
828	1986	409
829	1987	407
830	1989	404
831	1991	402
832	1992	399
833	1994	396
834	1996	394
835	1997	391
836	1999	389
837	2001	386
838	2002	384
839	2004	381
840	2005	379
841	2007	376
842	2009	374
843	2010	371
844	2012	369
845	2014	366
846	2015	364
847	2017	361
848	2018	358
849	2019	356
850	2021	353
851	2022	351
852	2024	348
853	2026	346
854	2027	343
855	2029	341
856	2030	338
857	2032	336
858	2033	333
859	2035	331
860	2036	328
861	2038	326
862	2039	323
863	2041	321
864	2042	318
865	2043	316
866	2045	313
867	2046	311
868	2048	308
869	2049	306
870	2051	303
871	2052	301
872	2054	298
873	2055	296
874	2057	293
875	2059	291
876	2060	289
877	2061	286
878	2063	284
879	2065	281
880	2066	279
881	2068	276
882	2070	274
883	2072	271
884	2073	269
885	2075	267
886	2077	264
887	2078	262
888	2079	259
889	2081	257
890	2083	254
891	2085	252
892	2086	250
893	2088	247
894	2089	245
895	2091	242
896	2093	240
897	2094	237
898	2096	235
899	2097	233
900	2098	230
901	2100	228
902	2102	225
903	2104	223
904	2106	221
905	2108	218
906	2109	216
907	2111	213
908	2113	211
909	2114	209
910	2116	206
911	2118	204
912	2120	202
913	2121	199
914	2123	197
915	2124	194
916	2126	192
917	2127	190
918	2129	187
919	2131	185
920	2132	182
921	2134	180
922	2135	178
923	2137	175
924	2138	173
925	2140	171
926	2141	168
927	2143	166
928	2144	163
929	2146	161
930	2147	159
931	2149	156
932	2151	154
933	2153	152
934	2154	149
935	2156	147
936	2158	145
937	2159	142
938	2161	140
939	2163	138
940	2165	135
941	2167	133
942	2168	131
943	2170	128
944	2172	126
945	2174	124
946	2175	121
947	2178	119
948	2180	117
949	2181	114
950	2183	112
951	2185	110
952	2187	107
953	2188	105
954	2190	103
955	2192	100
956	2194	98
957	2195	96
958	2197	93
959	2199	91
960	2200	89
961	2202	86
962	2204	84
963	2205	82
964	2207	80
965	2209	77
966	2210	75
967	2212	73
968	2213	70
969	2215	68
970	2216	66
971	2218	63
972	2219	61
973	2221	59
974	2222	56
975	2224	54
976	2226	52
977	2228	50
978	2229	47
979	2231	45
980	2232	43
981	2234	40
982	2235	38
983	2237	36
984	2238	34
985	2240	31
986	2241	29
987	2242	27
988	2244	24
989	2246	22
990	2247	20
991	2249	18
992	2251	15
993	2252	13
994	2254	11
995	2256	9
996	2257	6
997	2259	4
998	2261	2
999	2262	0
